ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,302,46647,35541,37797,55800,147384,61620,81008,99937,71160
,303,46647,35541,37797,55800,147384,61620,81008,99937,71160
,304,46647,35541,37797,55800,147384,61620,81008,99937,71160
,305,46647,35541,37797,55800,147384,61620,81008,99937,71160
,306,46647,35541,37797,55800,147384,61620,81008,99937,71160
,307,46647,35541,37797,55800,147384,61620,81008,99937,71160
,308,46647,35541,37797,55800,147384,61620,81008,99937,71160
,309,46647,35541,37797,55800,147384,61620,81008,99937,71160
,310,46647,35541,37797,55800,147384,61620,81008,99937,71160
,311,46647,35541,37797,55800,147384,61620,81008,99937,71160
,312,46647,35541,37797,55800,147384,61620,81008,99937,71160
,313,46647,35541,37797,55800,147384,61620,81008,99937,71160
,314,46647,35541,37797,55800,147384,61620,81008,99937,71160
,315,46647,35541,37797,55800,147384,61620,81008,99937,71160
,316,46647,35541,37797,55800,147384,61620,81008,99937,71160
,317,46647,35541,37797,55800,147384,61620,81008,99937,71160
,318,46647,35541,37797,55800,147384,61620,81008,99937,71160
,319,46647,35541,37797,55800,147384,61620,81008,99937,71160
,320,46647,35541,37797,55800,147384,61620,81008,99937,71160
,321,46647,35541,37797,55800,147384,61620,81008,99937,71160
,322,46647,35541,37797,55800,147384,61620,81008,99937,71160
,323,46647,35541,37797,55800,147384,61620,81008,99937,71160
,324,46647,35541,37797,55800,147384,61620,81008,99937,71160
,325,46647,35541,37797,55800,147384,61620,81008,99937,71160
,326,46647,35541,37797,55800,147384,61620,81008,99937,71160
,327,46647,35541,37797,55800,147384,61620,81008,99937,71160
,328,46647,35541,37797,55800,147384,61620,81008,99937,71160
,329,46647,35541,37797,55800,147384,61620,81008,99937,71160
,330,46647,35541,37797,55800,147384,61620,81008,99937,71160
,331,46647,35541,37797,55800,147384,61620,81008,99937,71160
,332,46647,35541,37797,55800,147384,61620,81008,99937,71160
,333,46647,35541,37797,55800,147384,61620,81008,99937,71160
,334,46647,35541,37797,55800,147384,61620,81008,99937,71160
,335,46647,35541,37797,55800,147384,61620,81008,99937,71160
,336,46647,35541,37797,55800,147384,61620,81008,99937,71160
,337,46647,35541,37797,55800,147384,61620,81008,99937,71160
,338,46647,35541,37797,55800,147384,61620,81008,99937,71160
,339,46647,35541,37797,55800,147384,61620,81008,99937,71160
,340,46647,35541,37797,55800,147384,61620,81008,99937,71160
,341,46647,35541,37797,55800,147384,61620,81008,99937,71160
,342,46647,35541,37797,55800,147384,61620,81008,99937,71160
,343,46647,35541,37797,55800,147384,61620,81008,99937,71160
,344,46647,35541,37797,55800,147384,61620,81008,99937,71160
,345,46647,35541,37797,55800,147384,61620,81008,99937,71160
,346,46647,35541,37797,55800,147384,61620,81008,99937,71160
,347,46647,35541,37797,55800,147384,61620,81008,99937,71160
,348,46647,35541,37797,55800,147384,61620,81008,99937,71160
,349,46647,35541,37797,55800,147384,61620,81008,99937,71160
,350,46647,35541,37797,55800,147384,61620,81008,99937,71160
,351,46647,35541,37797,55800,147384,61620,81008,99937,71160
,352,46647,35541,37797,55800,147384,61620,81008,99937,71160
,353,46647,35541,37797,55800,147384,61620,81008,99937,71160
,354,46647,35541,37797,55800,147384,61620,81008,99937,71160
,355,46647,35541,37797,55800,147384,61620,81008,99937,71160
,356,46647,35541,37797,55800,147384,61620,81008,99937,71160
,357,46647,35541,37797,55800,147384,61620,81008,99937,71160
,358,46647,35541,37797,55800,147384,61620,81008,99937,71160
,359,46647,35541,37797,55800,147384,61620,81008,99937,71160
,360,46647,35541,37797,55800,147384,61620,81008,99937,71160
,361,46647,35541,37797,55800,147384,61620,81008,99937,71160
,362,46647,35541,37797,55800,147384,61620,81008,99937,71160
,363,46647,35541,37797,55800,147384,61620,81008,99937,71160
,364,46647,35541,37797,55800,147384,61620,81008,99937,71160
,365,46647,35541,37797,55800,147384,61620,81008,99937,71160
,366,46647,35541,37797,55800,147384,61620,81008,99937,71160
,367,46647,35541,37797,55800,147384,61620,81008,99937,71160
,368,46647,35541,37797,55800,147384,61620,81008,99937,71160
,369,46647,35541,37797,55800,147384,61620,81008,99937,71160
,370,46647,35541,37797,55800,147384,61620,81008,99937,71160
,371,46647,35541,37797,55800,147384,61620,81008,99937,71160
,372,46647,35541,37797,55800,147384,61620,81008,99937,71160
,373,46647,35541,37797,55800,147384,61620,81008,99937,71160
,374,46647,35541,37797,55800,147384,61620,81008,99937,71160
,375,46647,35541,37797,55800,147384,61620,81008,99937,71160
,376,46647,35541,37797,55800,147384,61620,81008,99937,71160
,377,46647,35541,37797,55800,147384,61620,81008,99937,71160
,378,46647,35541,37797,55800,147384,61620,81008,99937,71160
,379,46647,35541,37797,55800,147384,61620,81008,99937,71160
,380,46647,35541,37797,55800,147384,61620,81008,99937,71160
,381,46647,35541,37797,55800,147384,61620,81008,99937,71160
,382,46647,35541,37797,55800,147384,61620,81008,99937,71160
,383,46647,35541,37797,55800,147384,61620,81008,99937,71160
,384,46647,35541,37797,55800,147384,61620,81008,99937,71160
,385,46647,35541,37797,55800,147384,61620,81008,99937,71160
,386,46647,35541,37797,55800,147384,61620,81008,99937,71160
,387,46647,35541,37797,55800,147384,61620,81008,99937,71160
,388,46647,35541,37797,55800,147384,61620,81008,99937,71160
,389,46647,35541,37797,55800,147384,61620,81008,99937,71160
,390,46647,35541,37797,55800,147384,61620,81008,99937,71160
,391,46647,35541,37797,55800,147384,61620,81008,99937,71160
,392,46647,35541,37797,55800,147384,61620,81008,99937,71160
,393,46647,35541,37797,55800,147384,61620,81008,99937,71160
,394,46647,35541,37797,55800,147384,61620,81008,99937,71160
,395,46647,35541,37797,55800,147384,61620,81008,99937,71160
,396,46647,35541,37797,55800,147384,61620,81008,99937,71160
,397,46647,35541,37797,55800,147384,61620,81008,99937,71160
,398,46647,35541,37797,55800,147384,61620,81008,99937,71160
,399,46647,35541,37797,55800,147384,61620,81008,99937,71160
,400,46647,35541,37797,55800,147384,61620,81008,99937,71160
,401,46647,35541,37797,55800,147384,61620,81008,99937,71160
,402,46647,35541,37797,55800,147384,61620,81008,99937,71160
