Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,437,378.4418,2226.939,838.7940000000001
,,,,,,,438,608.0272,3577.6730000000002,1347.1898
,,,,,,,439,752.1580000000001,4425.1306,1666.5616000000002
,,,,,,,440,862.0282000000001,5071.7502,1909.93
,,,,,,,441,908.4966000000001,5344.653600000001,2012.7118
,,,,,,,442,869.1166000000001,5115.0682,1926.0758
,,,,,,,443,864.3910000000001,5086.3208,1915.4432000000002
,,,,,,,444,896.2888000000002,5272.982000000001,1985.5396000000003
,,,,,,,445,952.2084000000001,5603.3802,2109.9804
,,,,,,,446,988.8318,5818.7888,2191.4970000000003
,,,,,,,447,1069.5608,6292.924000000001,2369.8884000000003
,,,,,,,448,1135.3254,6680.817000000001,2515.9882000000002
,,,,,,,449,1103.8214,6494.1558,2445.498
,,,,,,,450,1037.663,6106.2628,2299.3982
,,,,,,,451,854.546,5028.826,1893.7842000000003
,,,,,,,452,627.7172,3692.6626,1390.5078
