Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None
331,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
332,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
333,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
334,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
335,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
336,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
337,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
338,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
339,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
340,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
341,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
342,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
