Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,648,1569.36,881.63,315.01
,,,649,1569.36,881.63,315.01
,,,650,1569.36,881.63,315.01
,,,651,1569.36,881.63,315.01
,,,652,1569.36,881.63,315.01
,,,653,1569.36,881.63,315.01
,,,654,1569.36,881.63,315.01
,,,655,1569.36,881.63,315.01
,,,656,1569.36,881.63,315.01
,,,657,1569.36,881.63,315.01
,,,658,1569.36,881.63,315.01
,,,659,1569.36,881.63,315.01
,,,660,1569.36,881.63,315.01
,,,661,1569.36,881.63,315.01
,,,662,1569.36,881.63,315.01
,,,663,1569.36,881.63,315.01
,,,664,1569.36,881.63,315.01
,,,665,1569.36,881.63,315.01
,,,666,1569.36,881.63,315.01
,,,667,1569.36,881.63,315.01
,,,668,1569.36,881.63,315.01
,,,669,1569.36,881.63,315.01
,,,670,1569.36,881.63,315.01
,,,671,1569.36,881.63,315.01
,,,672,1569.36,881.63,315.01
,,,673,1569.36,881.63,315.01
,,,674,1569.36,881.63,315.01
,,,675,1569.36,881.63,315.01
,,,676,1569.36,881.63,315.01
,,,677,1569.36,881.63,315.01
,,,678,1569.36,881.63,315.01
,,,679,1569.36,881.63,315.01
,,,680,1569.36,881.63,315.01
,,,681,1569.36,881.63,315.01
,,,682,1569.36,881.63,315.01
,,,683,1569.36,881.63,315.01
,,,684,1569.36,881.63,315.01
,,,685,1569.36,881.63,315.01
,,,686,1569.36,881.63,315.01
,,,687,1569.36,881.63,315.01
,,,688,1569.36,881.63,315.01
,,,689,1569.36,881.63,315.01
,,,690,1569.36,881.63,315.01
,,,691,1569.36,881.63,315.01
,,,692,1569.36,881.63,315.01
,,,693,1569.36,881.63,315.01
,,,694,1569.36,881.63,315.01
,,,695,1569.36,881.63,315.01
,,,696,1569.36,881.63,315.01
,,,697,1569.36,881.63,315.01
,,,698,1569.36,881.63,315.01
,,,699,1569.36,881.63,315.01
,,,700,1569.36,881.63,315.01
,,,701,1569.36,881.63,315.01
,,,702,1569.36,881.63,315.01
,,,703,1569.36,881.63,315.01
,,,704,1569.36,881.63,315.01
,,,705,1569.36,881.63,315.01
,,,706,1569.36,881.63,315.01
,,,707,1569.36,881.63,315.01
,,,708,1569.36,881.63,315.01
,,,709,1569.36,881.63,315.01
,,,710,1569.36,881.63,315.01
,,,711,1569.36,881.63,315.01
,,,712,1569.36,881.63,315.01
,,,713,1569.36,881.63,315.01
,,,714,1569.36,881.63,315.01
,,,715,1569.36,881.63,315.01
,,,716,1569.36,881.63,315.01
,,,717,1569.36,881.63,315.01
,,,718,1569.36,881.63,315.01
,,,719,1569.36,881.63,315.01
,,,720,1569.36,881.63,315.01
,,,721,1569.36,881.63,315.01
,,,722,1569.36,881.63,315.01
,,,723,1569.36,881.63,315.01
,,,724,1569.36,881.63,315.01
,,,725,1569.36,881.63,315.01
,,,726,1569.36,881.63,315.01
,,,727,1569.36,881.63,315.01
,,,728,1569.36,881.63,315.01
,,,729,1569.36,881.63,315.01
,,,730,1569.36,881.63,315.01
,,,731,1569.36,881.63,315.01
,,,732,1569.36,881.63,315.01
,,,733,1569.36,881.63,315.01
,,,734,1569.36,881.63,315.01
,,,735,1569.36,881.63,315.01
,,,736,1569.36,881.63,315.01
,,,737,1569.36,881.63,315.01
