Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,1364,59245
,,,,1365,59245
,,,,1366,59245
,,,,1367,59245
,,,,1368,59245
,,,,1369,59245
,,,,1370,59245
,,,,1371,59245
,,,,1372,59245
,,,,1373,59245
,,,,1374,59245
,,,,1375,59245
,,,,1376,59245
,,,,1377,59245
,,,,1378,59245
,,,,1379,59245
,,,,1380,59245
,,,,1381,59245
,,,,1382,59245
,,,,1383,59245
,,,,1384,59245
,,,,1385,59245
,,,,1386,59245
,,,,1387,59245
,,,,1388,59245
,,,,1389,59245
,,,,1390,59245
,,,,1391,59245
,,,,1392,59245
,,,,1393,59245
,,,,1394,59245
,,,,1395,59245
,,,,1396,59245
,,,,1397,59245
,,,,1398,59245
,,,,1399,59245
,,,,1400,59245
,,,,1401,59245
,,,,1402,59245
,,,,1403,59245
,,,,1404,59245
,,,,1405,59245
,,,,1406,59245
,,,,1407,59245
,,,,1408,59245
,,,,1409,59245
,,,,1410,59245
,,,,1411,59245
,,,,1412,59245
,,,,1413,59245
,,,,1414,59245
,,,,1415,59245
,,,,1416,59245
,,,,1417,59245
,,,,1418,59245
,,,,1419,59245
,,,,1420,59245
,,,,1421,59245
,,,,1422,59245
,,,,1423,59245
,,,,1424,59245
